 0.78  | -10.670000000000002
 1.82  | -8.850000000000001
 -1.49 | -10.340000000000002
 1.13 | -9.21
 0.37 | -8.840000000000002
 0.24 | -8.600000000000001
 0.23 | -8.370000000000001
 0.57 | -7.800000000000001
 0.24 | -7.5600000000000005
 0.77 | -6.790000000000001
 1.34 | -5.450000000000001
 0.99 | -4.460000000000001
 0.35 | -4.110000000000001
 0.75 | -3.360000000000001
 1.25 | -2.110000000000001
 0.61 | -1.5000000000000013
 -0.09 | -1.5900000000000014
 -0.91 | -2.5000000000000013
 0.39 | -2.110000000000001
 1.77 | -0.3400000000000012
 1.6 | 0
 3.1 | 0
 -8.12 | -8.12
 0.13 | -7.989999999999999
 -0.15 | -8.139999999999999
 -1.66 | -9.799999999999999
 1.8 | -7.999999999999999
 1.46 | -6.539999999999999
 0.73 | -5.809999999999999
 0.73 | -5.079999999999998
 -0.11 | -5.189999999999999
 2.32 | -2.8699999999999988
 1.06 | -1.8099999999999987
 0.01 | -1.7999999999999987
 -0.76 | -2.5599999999999987
 0.29 | -2.2699999999999987
 0.42 | -1.8499999999999988
 0.12 | -1.7299999999999986
 -0.32 | -2.0499999999999985
 1.79 | -0.25999999999999845
 -0.18 | -0.43999999999999845
 0.72 | 0
 0.0 | 0.0
 0.25 | 0
 -1.28 | -1.28
 1.24 | -0.040000000000000036
 3.02 | 0
 0.83 | 0
 1.33 | 0
 2.22 | 0
 -0.24 | -0.24
 1.63 | 0
 1.55 | 0
 3.25 | 0
 1.11 | 0
 -0.01 | -0.01
 1.94 | 0
 1.21 | 0
 1.96 | 0
 -1.71 | -1.71
 0.42 | -1.29
 0.08 | -1.21
 1.07 | -0.1399999999999999
 3.77 | 0
 2.94 | 0
 1.34 | 0
 0.5 | 0
 0.89 | 0
 0.93 | 0
 2.6 | 0
 2.63 | 0
 2.76 | 0
 1.29 | 0
 1.15 | 0
 1.85 | 0
 -0.41 | -0.41
 1.76 | 0
 1.02 | 0
 -0.95 | -0.95
 -0.18 | -1.13
 0.39 | -0.7399999999999999
 1.75 | 0
 3.48 | 0
 9.51 | 0
 1.5 | 0
 0.53 | 0
 1.07 | 0
 0.96 | 0
 3.85 | 0
 -3.65 | -3.65
 0.5 | -3.15
 0.9 | -2.25
 0.75 | -1.5
 -0.13 | -1.63
 2.12 | 0
 0.81 | 0
 0.57 | 0
 -5.53 | -5.53
 -2.21 | -7.74
 0.16 | -7.58
 -1.53 | -9.11
 1.72 | -7.39
 1.54 | -5.85
 0.67 | -5.18
 0.15 | -5.029999999999999
 -1.8 | -6.829999999999999
 2.85 | -3.979999999999999
 -3.92 | -7.899999999999999
 0.91 | -6.989999999999998
 -0.04 | -7.0299999999999985
 1.05 | -5.979999999999999
 1.13 | -4.849999999999999
 2.91 | -1.9399999999999986
 -1.99 | -3.929999999999999
 -0.09 | -4.019999999999999
 -0.32 | -4.339999999999999
 0.4 | -3.939999999999999
 0.26 | -3.679999999999999
 -3.55 | -7.229999999999999
 1.91 | -5.3199999999999985
 -8.46 | -13.78
 1.1 | -12.68
 1.26 | -11.42
 0.2 | -11.22
 0.53 | -10.690000000000001
 1.2 | -9.490000000000002
 -0.35 | -9.840000000000002
 3.51 | -6.330000000000002
 1.57 | -4.760000000000002
 -2.52 | -7.280000000000001
 5.49 | -1.790000000000001
 6.51 | 0
 -3.03 | -3.03
 0.29 | -2.7399999999999998
 -0.44 | -3.1799999999999997
 0.49 | -2.6899999999999995
 2.84 | 0
 1.12 | 0
 1.51 | 0
 1.63 | 0
 0.69 | 0
 -1.33 | -1.33
