2021.1.8 | 0.1
2021.1.13 | 0.15
2021.1.19 | 0.07
2021.1.21 | 0.27
2021.1.23 | 0.31
2021.1.25 | 0.08
2021.1.26 | 0.17
2021.1.31 | 0.08
2021.2.1 | 0.03
2021.2.4 | 0.43
2021.2.5 | 0.18
2021.2.14 | 0.11
2021.2.15 | -0.05
2021.2.16 | 0.18
2021.2.21 | 0.1
2021.3.5 | 0.09
2021.3.6 | -0.02
2021.3.15 | -0.24
2021.3.17 | 0.17
2021.3.18 | 0.08
2021.3.20 | 0.12
2021.3.21 | 0.39
2021.3.22 | 0.8
2021.3.26 | 0.09
2021.3.27 | 0.06
2021.3.29 | 0.17
2021.3.31 | 0.49
2021.4.1 | 0.09
2021.4.2 | 0.07
2021.4.3 | 0.06
2021.4.4 | 0.05
2021.4.5 | 0.14
2021.4.8 | -0.06
2021.4.9 | 0.04
2021.4.10 | 0.1
2021.4.14 | 0.05
2021.4.18 | -0.03
2021.4.21 | -0.1
2021.4.29 | 0.06
2021.4.30 | 0.04
2021.5.6 | 0.37
2021.5.10 | 0.03
2021.5.15 | 13.79
2021.5.26 | 0.11
2021.6.8 | 0.3
2021.6.10 | 0.08
2021.6.13 | 0.01
2021.6.14 | 0.1
2021.6.16 | 0.03
2021.6.17 | 0.16
2021.6.22 | 0.12
2021.7.2 | -0.26
2021.7.3 | 0.04
2021.7.4 | 0.04
2021.7.6 | 0.5
2021.7.7 | 0.72
2021.7.8 | 0.2
2021.7.11 | 0.31
2021.7.12 | 0.13
2021.7.15 | 0.29
2021.7.16 | -0.04
2021.7.17 | 0.16
2021.7.18 | 0.13
2021.7.19 | -0.14
2021.7.20 | 0.09
2021.7.23 | 0.08
2021.7.24 | -0.03
2021.7.28 | 0.06
2021.7.29 | 0.07
2021.7.30 | -0.02
2021.7.31 | 0.26
2021.8.1 | 0.7
2021.8.3 | 0.54
2021.8.4 | 0.15
2021.8.7 | 0.18
2021.8.10 | 0.17
2021.8.13 | 0.04
2021.8.14 | -0.03
2021.8.16 | 0.52
2021.8.17 | 0.13
2021.8.19 | 0.13
2021.8.22 | 0.04
2021.8.23 | 0.11
2021.8.27 | 0.54
2021.8.28 | 0.08
2021.8.29 | 0.22
2021.8.30 | 0.05
2021.9.1 | 0.71
2021.9.2 | 0.12
2021.9.3 | 0.71
2021.9.4 | 0.48
2021.9.5 | 0.22
2021.9.6 | 0.47
2021.9.7 | 0.52
2021.9.9 | 0.19
2021.9.10 | 0.23
2021.9.12 | 0.48
2021.9.13 | 0.06
2021.9.14 | 0.28
2021.9.15 | 0.15
